Hourly Time,Hourly Sum
2015년 10월 17일   20시,612748.082
2015년 10월 17일   21시,604921.1641
2015년 10월 17일   22시,597051.7656
2015년 10월 17일   23시,591023.3008
2015년 10월 18일   00시,553256.4727
2015년 10월 18일   01시,528999.418
2015년 10월 18일   02시,513035.1797
2015년 10월 18일   03시,504399.5938
2015년 10월 18일   04시,506225.6211
2015년 10월 18일   05시,517937.6445
2015년 10월 18일   06시,525808.8984
2015년 10월 18일   07시,523384.6719
2015년 10월 18일   08시,522677.9766
2015년 10월 18일   09시,527247.4414
2015년 10월 18일   10시,529359.1953
2015년 10월 18일   11시,525412.7656
2015년 10월 18일   12시,519149.5547
2015년 10월 18일   13시,527629.0391
2015년 10월 18일   14시,532507.6914
2015년 10월 18일   15시,536581.2227
2015년 10월 18일   16시,546768.6875
2015년 10월 18일   17시,562493.2383
2015년 10월 18일   18시,588212.9258
2015년 10월 18일   19시,590450.9531
2015년 10월 18일   20시,589174.3164
2015년 10월 18일   21시,582045.3086
2015년 10월 18일   22시,576137.6758
2015년 10월 18일   23시,558797.9258
2015년 10월 19일   00시,522406.4844
2015년 10월 19일   01시,499451.293
2015년 10월 19일   02시,488381.6523
2015년 10월 19일   03시,485471.0312
2015년 10월 19일   04시,494870.3828
2015년 10월 19일   05시,515585.9297
2015년 10월 19일   06시,547790.1328
2015년 10월 19일   07시,593101.9336
2015년 10월 19일   08시,648210.1133
2015년 10월 19일   09시,672751.1797
2015년 10월 19일   10시,674150.6641
2015년 10월 19일   11시,672565.1836
2015년 10월 19일   12시,632689.5781
2015년 10월 19일   13시,669599.5898
2015년 10월 19일   14시,688736.2578
2015년 10월 19일   15시,690227.9883
2015년 10월 19일   16시,694924.7578
2015년 10월 19일   17시,700192.082
2015년 10월 19일   18시,711333.3516
2015년 10월 19일   19시,699243.3594
2015년 10월 19일   20시,678504.7695
2015년 10월 19일   21시,659013.7383
2015년 10월 19일   22시,641735.1445
2015년 10월 19일   23시,629464.3359
2015년 10월 20일   00시,584685.082
2015년 10월 20일   01시,561701.6602
2015년 10월 20일   02시,549457.918
2015년 10월 20일   03시,545250.4141
2015년 10월 20일   04시,549188.418
2015년 10월 20일   05시,565922.6992
2015년 10월 20일   06시,595947.5469
2015년 10월 20일   07시,631156.707
2015년 10월 20일   08시,675304.4258
2015년 10월 20일   09시,691826.8672
2015년 10월 20일   10시,690446.0664
2015년 10월 20일   11시,686112.1992
2015년 10월 20일   12시,643616.1602
2015년 10월 20일   13시,679230.1016
2015년 10월 20일   14시,698686.9688
2015년 10월 20일   15시,699906.9688
2015년 10월 20일   16시,709161.2656
2015년 10월 20일   17시,709596.7734
2015년 10월 20일   18시,724790.6914
2015년 10월 20일   19시,712426.5781
2015년 10월 20일   20시,690559.625
2015년 10월 20일   21시,667897.8125
2015년 10월 20일   22시,651406.4766
2015년 10월 20일   23시,637173.4883
2015년 10월 21일   00시,590333.1367
